1301937	O
Molecular	O
basis	O
of	O
hexosaminidase	B-SpecificDisease
A	I-SpecificDisease
deficiency	I-SpecificDisease
and	O
pseudodeficiency	O
in	O
the	O
Berks	O
County	O
Pennsylvania	O
Dutch.	O
Following	O
the	O
birth	O
of	O
two	O
infants	O
with	O
Tay-Sachs	B-SpecificDisease
disease	I-SpecificDisease
(	O
TSD	B-SpecificDisease
)	O
,	O
a	O
non-Jewish	O
,	O
Pennsylvania	O
Dutch	O
kindred	O
was	O
screened	O
for	O
TSD	B-Modifier
carriers	O
using	O
the	O
biochemical	O
assay	O
.	O
A	O
high	O
frequency	O
of	O
individuals	O
who	O
appeared	O
to	O
be	O
TSD	B-Modifier
heterozygotes	O
was	O
detected	O
(	O
Kelly	O
et	O
al	O
.	O
,	O
1975	O
)	O
.	O
Clinical	O
and	O
biochemical	O
evidence	O
suggested	O
that	O
the	O
increased	O
carrier	O
frequency	O
was	O
due	O
to	O
at	O
least	O
two	O
altered	O
alleles	O
for	O
the	O
hexosaminidase	O
A	O
alpha-subunit	O
.	O
We	O
now	O
report	O
two	O
mutant	O
alleles	O
in	O
this	O
Pennsylvania	O
Dutch	O
kindred	O
,	O
and	O
one	O
polymorphism	O
.	O
One	O
allele	O
,	O
reported	O
originally	O
in	O
a	O
French	O
TSD	B-Modifier
patient	O
(	O
Akli	O
et	O
al	O
.	O
,	O
1991	O
)	O
,	O
is	O
a	O
GT--	O
>	O
AT	O
transition	O
at	O
the	O
donor	O
splice-site	O
of	O
intron	O
9	O
.	O
The	O
second	O
,	O
a	O
C--	O
>	O
T	O
transition	O
at	O
nucleotide	O
739	O
(	O
Arg247Trp	O
)	O
,	O
has	O
been	O
shown	O
by	O
Triggs-Raine	O
et	O
al	O
.	O
(	O
1992	O
)	O
to	O
be	O
a	O
clinically	O
benign	O
"	O
pseudodeficient	O
"	O
allele	O
associated	O
with	O
reduced	O
enzyme	O
activity	O
against	O
artificial	O
substrate	O
.	O
Finally	O
,	O
a	O
polymorphism	O
[	O
G--	O
>	O
A	O
(	O
759	O
)	O
]	O
,	O
which	O
leaves	O
valine	O
at	O
codon	O
253	O
unchanged	O
,	O
is	O
described	O
.	O

10205262	O
Analysis	O
of	O
alkaptonuria	B-Modifier
(AKU)	O
mutations	O
and	O
polymorphisms	O
reveals	O
that	O
the	O
CCC	O
sequence	O
motif	O
is	O
a	O
mutational	O
hot	O
spot	O
in	O
the	O
homogentisate	O
1,2	O
dioxygenase	O
gene	O
(HGO).	O
We	O
recently	O
showed	O
that	O
alkaptonuria	B-SpecificDisease
(	O
AKU	B-SpecificDisease
)	O
is	O
caused	O
by	O
loss-of-function	O
mutations	O
in	O
the	O
homogentisate	O
1	O
,	O
2	O
dioxygenase	O
gene	O
(	O
HGO	O
)	O
.	O
Herein	O
we	O
describe	O
haplotype	O
and	O
mutational	O
analyses	O
of	O
HGO	O
in	O
seven	O
new	O
AKU	B-Modifier
pedigrees	O
.	O
These	O
analyses	O
identified	O
two	O
novel	O
single-nucleotide	O
polymorphisms	O
(	O
INV4	O
+	O
31A--	O
>	O
G	O
and	O
INV11	O
+	O
18A--	O
>	O
G	O
)	O
and	O
six	O
novel	O
AKU	B-Modifier
mutations	O
(	O
INV1-1G--	O
>	O
A	O
,	O
W60G	O
,	O
Y62C	O
,	O
A122D	O
,	O
P230T	O
,	O
and	O
D291E	O
)	O
,	O
which	O
further	O
illustrates	O
the	O
remarkable	O
allelic	O
heterogeneity	O
found	O
in	O
AKU	B-SpecificDisease
.	O
Reexamination	O
of	O
all	O
29	O
mutations	O
and	O
polymorphisms	O
thus	O
far	O
described	O
in	O
HGO	O
shows	O
that	O
these	O
nucleotide	O
changes	O
are	O
not	O
randomly	O
distributed	O
;	O
the	O
CCC	O
sequence	O
motif	O
and	O
its	O
inverted	O
complement	O
,	O
GGG	O
,	O
are	O
preferentially	O
mutated	O
.	O
These	O
analyses	O
also	O
demonstrated	O
that	O
the	O
nucleotide	O
substitutions	O
in	O
HGO	O
do	O
not	O
involve	O
CpG	O
dinucleotides	O
,	O
which	O
illustrates	O
important	O
differences	O
between	O
HGO	O
and	O
other	O
genes	O
for	O
the	O
occurrence	O
of	O
mutation	O
at	O
specific	O
short-sequence	O
motifs	O
.	O
Because	O
the	O
CCC	O
sequence	O
motifs	O
comprise	O
a	O
significant	O
proportion	O
(	O
34	O
.	O
5	O
%	O
)	O
of	O
all	O
mutated	O
bases	O
that	O
have	O
been	O
observed	O
in	O
HGO	O
,	O
we	O
conclude	O
that	O
the	O
CCC	O
triplet	O
is	O
a	O
mutational	O
hot	O
spot	O
in	O
HGO	O
.	O

8240110	O
Phenotypic	O
variation	O
including	O
retinitis	B-SpecificDisease
pigmentosa,	I-SpecificDisease
pattern	B-SpecificDisease
dystrophy,	I-SpecificDisease
and	O
fundus	B-SpecificDisease
flavimaculatus	I-SpecificDisease
in	O
a	O
single	O
family	O
with	O
a	O
deletion	O
of	O
codon	O
153	O
or	O
154	O
of	O
the	O
peripherin/RDS	O
gene.	O
BACKGROUND	O
AND	O
OBJECTIVES	O
Mutations	O
of	O
the	O
peripherin	O
/	O
RDS	O
gene	O
have	O
been	O
reported	O
in	O
autosomal	B-SpecificDisease
dominant	I-SpecificDisease
retinitis	I-SpecificDisease
pigmentosa	I-SpecificDisease
,	O
pattern	O
macular	B-SpecificDisease
dystrophy	I-SpecificDisease
,	O
and	O
retinitis	B-SpecificDisease
punctata	I-SpecificDisease
albescens	I-SpecificDisease
.	O
We	O
report	O
herein	O
the	O
occurrence	O
of	O
three	O
separate	O
phenotypes	O
within	O
a	O
single	O
family	O
with	O
a	O
novel	O
3-base	O
pair	O
deletion	O
of	O
codon	O
153	O
or	O
154	O
of	O
the	O
peripherin	O
/	O
RDS	O
gene	O
.	O
DESIGN	O
Case	O
reports	O
with	O
clinical	O
features	O
,	O
fluorescein	O
angiography	O
,	O
kinetic	O
perimetry	O
,	O
electrophysiological	O
studies	O
,	O
and	O
molecular	O
genetics	O
.	O
SETTING	O
University	O
medical	O
centers	O
.	O
PATIENTS	O
A	O
75-year-old	O
woman	O
,	O
her	O
two	O
daughters	O
(	O
aged	O
44	O
and	O
50	O
years	O
)	O
,	O
and	O
her	O
49-year-old	O
son	O
were	O
screened	O
for	O
peripherin	O
/	O
RDS	O
mutations	O
because	O
of	O
the	O
presence	O
of	O
multiple	O
phenotypes	O
within	O
the	O
same	O
family	O
.	O
RESULTS	O
The	O
mother	O
presented	O
at	O
age	O
63	O
years	O
with	O
a	O
profoundly	O
abnormal	O
electroretinogram	O
(	O
ERG	O
)	O
and	O
adult-onset	O
retinitis	B-SpecificDisease
pigmentosa	I-SpecificDisease
that	O
progressed	O
dramatically	O
over	O
12	O
years	O
,	O
with	O
marked	O
loss	O
of	O
peripheral	O
visual	O
field	O
.	O
One	O
daughter	O
developed	O
pattern	B-SpecificDisease
macular	I-SpecificDisease
